first_name,korean
Tae-hyeon,태현
Tae-hyuk,태혁
Tae-hyun,태현
Tae-hyung,태형
Tae-in,태인
Tae-jin,태진
Tae-joon,태준
Tae-kon,태곤
Tae-kyun,태균
Tae-kyung,태경
Tae-o,태오
Tae-wan,태완
Tae-woong,태웅
Tae-yang,태양
Tae-yeon,태연
Tae-yoon,태윤
Taek-hyeong,택형
Taek-yeon,택연
Taijuan,타이완
Taj,타이
Tanner,태너
Tarik,타릭
Tatsuya,타츠야
Taylor,테일러
Teoscar,테오스카
Teun-teun,튼튼
Thomas,토마스
Tim,팀
TJ,TJ
Tom,톰
Tommy,토미
Tomoyuki,토모유키
Tony,토니
Travis,트래비스
Trea,트레이
Trent,트렌트
Trenton,트렌튼
Trevor,트레버
Trey,트레이
Tristan,트리스탄
Triston,트리스턴
Troy,트로이
Ty,타이
Tyler,타일러
Tylor,타일러
Tyrone,타이론
Vaughn,본
Victor,빅터
Vinnie,비니
Vladimir,블라디미르
Walbert,왈버트
Walker,워커
Wandy,완디
Welinton,웰링턴
Wilkel,윌켈
Will,윌
Willi,윌리
William,윌리엄
Willson,윌슨
Willy,윌리
Wilmer,윌머
Wilyer,윌리에
Won-bin,원빈
Won-hoe,원회
Won-jae,원재
Won-joon,원준
Won-jun,원준
Won-jung,원정
Won-pyo,원표
Won-suk,원석
Won-tae,원태
Won-young,원영
Woo-chan,우찬
Woo-hyuk,우혁
Woo-hyun,우현
Woo-in,우인
Woo-jin,우진
Woo-joo,우주
Woo-jun,우준
Woo-seok,우석
Woo-suk,우석
Woo-sung,우성
Woo-yeol,우열
Woo-young,우영
Woong,웅
Woong-bin,웅빈
Wyatt,와이어트
Xander,잔더
Xavier,재비어
Yainer,야이너
Yan-Cheng,얀쳉
Yandy,얀디
Yang-joon,양준
Yang-soo,양수
Yariel,야리엘
Ye-han,예한
Yennier,예니에르
Yeon-joo,연주
Yeon-woo,연우
Yeong-ha,영하
Yeong-min,영민
Yi-hwang,이황
Yi-hyun,이현
Yi-joon,이준
Yimi,이미
Yo-el,요엘
Yo-han,요한
Yo-sep,요셉
Yoan,요안
Yoendrys,요엔드리스
Yohan,요한
Yohel,요헬
Yonathan,요나단
Yong-chan,용찬
Yong-gyu,용규
Yong-hyun,용현
Yong-ik,용익
Yong-jae,용재
Yong-joo,용주
Yong-joon,용준
Yong-jun,용준
Yong-seok,용석
Yonny,요니
Yoo-bin,유빈
Yoo-chan,유찬
Yoo-hyun,유현
Yoo-seom,유섬
Yoo-sin,유신
Yoo-won,유원
Yoo-young,유영
Yoon,윤
Yoon-dong,윤동
Yoon-ha,윤하
Yoon-ho,윤호
Yoon-hoo,윤후
Yoon-hyuk,윤혁
Yoon-seo,윤서
Yoon-seok,윤석
Yoon-seong,윤성
Yoon-sik,윤식
Yordan,요르단
Yoshinobu,요시노부
Young-bin,영빈
Young-chan,영찬
Young-cheol,영철
Young-gun,영건
Young-hyun,영현
Young-jae,영재
Young-jin,영진
Young-joon,영준
Young-jun,영준
Young-kyu,영규
Young-mook,영묵
Young-pyo,영표
Young-soo,영수
Young-tak,영탁
Young-woo,영우
Young-woong,영웅
Yu,유
Yu-ho,유호
Yu-seong,유성
Yuki,유키
Yul-gi,율기
Yul-ye,율예
Yun-seok,윤석
Yunior,유니올
Yura,유라
Yusei,유세이
Yuto,유토
Zac,잭
Zach,잭
Zack,잭
Zak,잭
Zebby,제비
